,Unnamed: 0,ID,earthquake,pga_(g),CorrosionLvl_Long,First_Period_s,Steel_Strain,Conf_Conc_Strain,Unc_Conc_srain,Fy_ksi,fyt_ksi,Ast_in2,st_in,Dprime_in,PCol_kip,DCol_in,barAreaSec_in2,fc_ksi,LimitState_ConcreteCoverCrushing,ConfinementSteelYielding,LongitudinlSteelBuckling,"Effective period, Teff",Force,MaxDisplacement at MaxForce,SD_at_Teff,rhol,rhov,height_of_column,"SD_Teff,xi",LS_collapse,DC_collapse
75129,75129,0,RSN1492_CHICHI_TCU052-E.AT2.g3,0.3575501,5.0,1.0180651583622051,0.0517341,0.00841948,0.0123117,53.7,60.0,0.3067961575771282,2.5,43.6875,452.3893421169303,48.0,0.7461282552275758,7.020110894171965,0.004,0.0169452676005747,0.049834061427896,3.953597976517908,121.784,41.166,122.89664688933844,0.02,0.01,384.0,63.71450163913108,1,1
71612,71612,0,RSN1505_CHICHI_TCU068-E.AT2.g3,0.5116834,5.0,1.5524353455282678,0.0526499,0.00903499,0.01302,53.7,60.0,0.3067961575771282,2.5,43.6875,904.7786842338604,48.0,0.5712544454086127,7.020110894171965,0.004,0.0169742592997934,0.0533952587333054,7.898033283851726,-96.7524,-65.2579,386.7627277913933,0.01,0.01,384.0,197.7878258759875,1,0
71867,71867,0,RSN1492_CHICHI_TCU052-E.AT2.g3,0.3575501,5.0,1.9198335621408715,0.0763245,0.0199826,0.0262042,53.7,60.0,0.3067961575771282,2.5,43.6875,1357.1680263507906,48.0,0.5712544454086127,7.020110894171965,0.004,0.0169742592997934,0.0569564560387147,12.645377335168236,-110.983,-127.927,349.127,0.01,0.01,384.0,176.58346223205768,1,1
70989,70989,0,RSN1503_CHICHI_TCU065-E.AT2.g3,0.789778,5.0,1.4566163399271126,0.0865256,0.0308309,0.0384124,53.7,60.0,0.3067961575771282,2.5,43.6875,1809.557368467721,48.0,0.5712544454086127,7.020110894171965,0.004,0.0169742592997934,0.0605176533441241,9.039878576973395,162.266,71.6896,184.3925109045181,0.01,0.01,288.0,93.27957968579156,1,1
68770,68770,0,RSN1517_CHICHI_TCU084-E.AT2.g3,1.008891,5.0,0.3862091309535795,0.0597947,0.00591353,0.0101584,53.7,60.0,0.3067961575771282,2.5,43.6875,452.3893421169303,48.0,0.5712544454086127,7.020110894171965,0.004,0.0169742592997934,0.049834061427896,2.3185751729336945,-155.118,-18.033,79.84835535260338,0.01,0.01,192.0,40.77528644336296,1,1
83942,83942,0,RSN1492_CHICHI_TCU052-E.AT2.g3,0.3575501,5.0,1.8627439743654155,0.0549746,0.0231315,0.0282013,53.7,60.0,0.3067961575771282,2.5,43.6875,1809.557368467721,48.0,1.165825398793087,7.020110894171965,0.004,0.0168756875224497,0.0605176533441241,7.275482783325528,-243.939,-69.8085,306.74025581696304,0.04,0.01,384.0,156.68295693943844,1,0
69359,69359,0,RSN1509_CHICHI_TCU074-E.AT2.g3,0.5964375,5.0,0.6818050073133144,0.0531129,0.0138621,0.0181889,53.7,60.0,0.3067961575771282,2.5,43.6875,1357.1680263507906,48.0,0.5712544454086127,7.020110894171965,0.004,0.0169742592997934,0.0569564560387147,3.3171736874842166,213.0,16.895,52.42086227021971,0.01,0.01,192.0,26.807599100792064,1,0
71911,71911,0,RSN1503_CHICHI_TCU065-E.AT2.g3,0.789778,5.0,1.9198335621408715,0.084677,0.0224544,0.0293754,53.7,60.0,0.3067961575771282,2.5,43.6875,1357.1680263507906,48.0,0.5712544454086127,7.020110894171965,0.004,0.0169742592997934,0.0569564560387147,10.370389670486908,110.886,85.9625,174.247,0.01,0.01,384.0,88.6242974834874,1,1
78210,78210,0,RSN1505_CHICHI_TCU068-E.AT2.g3,0.5116834,5.0,0.6939956437435263,0.0651003,0.0267349,0.0326864,53.7,60.0,0.3067961575771282,2.5,43.6875,1809.557368467721,48.0,0.9443185730224009,7.020110894171965,0.004,0.0169124103414601,0.0605176533441241,3.579654688619382,-421.374,-29.1913,140.84578573665678,0.03,0.01,192.0,71.36508949531877,1,1
69709,69709,0,RSN1503_CHICHI_TCU065-E.AT2.g3,0.789778,5.0,0.7952581814659495,0.0864293,0.0320548,0.0397092,53.7,60.0,0.3067961575771282,2.5,43.6875,1809.557368467721,48.0,0.5712544454086127,7.020110894171965,0.004,0.0169742592997934,0.0605176533441241,6.684549776023843,-243.208,-58.7524,200.44330731964564,0.01,0.01,192.0,100.88273559661096,1,1
78880,78880,0,RSN1529_CHICHI_TCU102-E.AT2.g3,0.3039302,5.0,1.2702027277856598,0.0517296,0.0210578,0.0257749,53.7,60.0,0.3067961575771282,2.5,43.6875,1809.557368467721,48.0,0.9443185730224009,7.020110894171965,0.004,0.0169124103414601,0.0605176533441241,4.732460181122114,265.808,32.1844,107.0326712631868,0.03,0.01,288.0,54.94795564255928,1,0
