,SD_teff_xi,Number of Analyses,Collapses_LS_steel,Collapses_LS_concrete,Collapses_DC_steel,Collapses_DC_concrete,Collapses_ultiamte
0,1.0,129,0,0,0,0,0
1,3.0,87,0,0,0,0,0
2,5.0,79,0,0,0,0,0
3,7.0,63,0,0,0,0,0
4,9.0,50,3,1,0,0,0
5,11.0,30,2,0,0,0,0
6,13.0,45,9,3,0,0,0
7,15.0,30,6,1,0,0,0
8,17.0,20,3,0,0,0,0
9,19.0,14,4,1,0,0,0
10,21.0,15,6,0,0,0,0
11,23.0,16,12,0,0,0,0
12,25.0,22,13,4,1,0,1
13,27.0,12,6,0,0,0,0
14,29.0,18,9,3,0,0,0
15,31.0,8,3,2,0,0,0
16,33.0,7,1,0,0,0,0
17,35.0,9,7,1,0,0,0
18,37.0,5,4,2,0,0,0
19,39.0,10,7,4,1,0,1
20,41.0,6,4,0,0,0,0
21,43.0,8,8,4,1,0,0
22,45.0,4,3,0,0,0,0
23,47.0,2,2,0,0,0,0
24,49.0,2,2,1,0,0,0
25,51.0,0,0,0,0,0,0
26,53.0,5,4,3,1,0,1
27,55.0,4,4,3,1,0,1
28,57.0,6,6,2,0,0,0
29,59.0,2,2,1,1,0,1
30,61.0,2,2,0,0,0,0
31,63.0,3,3,0,0,0,0
32,65.0,2,2,1,1,0,0
33,67.0,0,0,0,0,0,0
34,69.0,0,0,0,0,0,0
35,71.0,1,1,1,0,0,0
36,73.0,0,0,0,0,0,0
37,75.0,0,0,0,0,0,0
38,77.0,2,2,1,0,0,0
39,79.0,0,0,0,0,0,0
40,81.0,0,0,0,0,0,0
41,83.0,0,0,0,0,0,0
42,85.0,0,0,0,0,0,0
43,87.0,1,1,1,1,0,1
44,89.0,1,1,1,1,0,1
45,91.0,1,1,0,1,0,0
46,93.0,0,0,0,0,0,0
47,95.0,1,1,1,1,0,1
48,97.0,0,0,0,0,0,0
49,99.0,0,0,0,0,0,0
50,101.0,0,0,0,0,0,0
51,103.0,1,1,1,1,0,1
52,105.0,0,0,0,0,0,0
53,107.0,0,0,0,0,0,0
54,109.0,0,0,0,0,0,0
55,111.0,0,0,0,0,0,0
56,113.0,0,0,0,0,0,0
57,115.0,1,1,0,1,0,1
58,117.0,0,0,0,0,0,0
59,119.0,2,2,0,1,0,0
60,121.0,1,1,0,0,0,0
61,123.0,0,0,0,0,0,0
62,125.0,0,0,0,0,0,0
63,127.0,0,0,0,0,0,0
64,129.0,1,1,0,1,0,1
65,131.0,0,0,0,0,0,0
66,133.0,0,0,0,0,0,0
67,135.0,0,0,0,0,0,0
68,137.0,1,1,1,1,0,1
69,139.0,0,0,0,0,0,0
70,141.0,0,0,0,0,0,0
71,143.0,1,1,1,1,0,1
72,145.0,0,0,0,0,0,0
73,147.0,0,0,0,0,0,0
74,149.0,0,0,0,0,0,0
75,151.0,0,0,0,0,0,0
76,153.0,0,0,0,0,0,0
77,155.0,0,0,0,0,0,0
78,157.0,0,0,0,0,0,0
79,159.0,0,0,0,0,0,0
80,161.0,0,0,0,0,0,0
81,163.0,0,0,0,0,0,0
82,165.0,0,0,0,0,0,0
83,167.0,0,0,0,0,0,0
84,169.0,0,0,0,0,0,0
85,171.0,0,0,0,0,0,0
86,173.0,0,0,0,0,0,0
87,175.0,0,0,0,0,0,0
88,177.0,0,0,0,0,0,0
89,179.0,0,0,0,0,0,0
90,181.0,0,0,0,0,0,0
91,183.0,0,0,0,0,0,0
92,185.0,0,0,0,0,0,0
93,187.0,0,0,0,0,0,0
94,189.0,0,0,0,0,0,0
95,191.0,0,0,0,0,0,0
96,193.0,0,0,0,0,0,0
97,195.0,0,0,0,0,0,0
98,197.0,0,0,0,0,0,0
99,199.0,0,0,0,0,0,0
100,201.0,0,0,0,0,0,0
101,203.0,0,0,0,0,0,0
102,205.0,0,0,0,0,0,0
103,207.0,0,0,0,0,0,0
104,209.0,0,0,0,0,0,0
105,211.0,0,0,0,0,0,0
106,213.0,0,0,0,0,0,0
107,215.0,0,0,0,0,0,0
108,217.0,0,0,0,0,0,0
109,219.0,0,0,0,0,0,0
110,221.0,0,0,0,0,0,0
111,223.0,0,0,0,0,0,0
112,225.0,0,0,0,0,0,0
113,227.0,0,0,0,0,0,0
114,229.0,0,0,0,0,0,0
115,231.0,0,0,0,0,0,0
116,233.0,0,0,0,0,0,0
117,235.0,0,0,0,0,0,0
118,237.0,0,0,0,0,0,0
119,239.0,0,0,0,0,0,0
120,241.0,0,0,0,0,0,0
121,243.0,0,0,0,0,0,0
122,245.0,0,0,0,0,0,0
123,247.0,0,0,0,0,0,0
